per,m_p90.0_ranumber,m_p90.1_ranumber,m_p90.2_ranumber,m_p90.3_ranumber,m_p90.4_ranumber,m_p90.5_ranumber,m_p90.6_ranumber,m_p90.7_ranumber,m_p90.8_ranumber,m_p90.9_ranumber,m_p91.0_ranumber,m_p91.1_ranumber,m_p91.2_ranumber,m_p91.3_ranumber,m_p91.4_ranumber,m_p91.5_ranumber,m_p91.6_ranumber,m_p91.7_ranumber,m_p91.8_ranumber,m_p91.9_ranumber,m_p92.0_ranumber,m_p92.1_ranumber,m_p92.2_ranumber,m_p92.3_ranumber,m_p92.4_ranumber,m_p92.5_ranumber,m_p92.6_ranumber,m_p92.7_ranumber,m_p92.8_ranumber,m_p92.9_ranumber,m_p93.0_ranumber,m_p93.1_ranumber,m_p93.2_ranumber,m_p93.3_ranumber,m_p93.4_ranumber,m_p93.5_ranumber,m_p93.6_ranumber,m_p93.7_ranumber,m_p93.8_ranumber,m_p93.9_ranumber,m_p94.0_ranumber,m_p94.1_ranumber,m_p94.2_ranumber,m_p94.3_ranumber,m_p94.4_ranumber,m_p94.5_ranumber,m_p94.6_ranumber,m_p94.7_ranumber,m_p94.8_ranumber,m_p94.9_ranumber,m_p95.0_ranumber,m_p95.1_ranumber,m_p95.2_ranumber,m_p95.3_ranumber,m_p95.4_ranumber,m_p95.5_ranumber,m_p95.6_ranumber,m_p95.7_ranumber,m_p95.8_ranumber,m_p95.9_ranumber,m_p96.0_ranumber,m_p96.1_ranumber,m_p96.2_ranumber,m_p96.3_ranumber,m_p96.4_ranumber,m_p96.5_ranumber,m_p96.6_ranumber,m_p96.7_ranumber,m_p96.8_ranumber,m_p96.9_ranumber,m_p97.0_ranumber,m_p97.1_ranumber,m_p97.2_ranumber,m_p97.3_ranumber,m_p97.4_ranumber,m_p97.5_ranumber,m_p97.6_ranumber,m_p97.7_ranumber,m_p97.8_ranumber,m_p97.9_ranumber,m_p98.0_ranumber,m_p98.1_ranumber,m_p98.2_ranumber,m_p98.3_ranumber,m_p98.4_ranumber,m_p98.5_ranumber,m_p98.6_ranumber,m_p98.7_ranumber,m_p98.8_ranumber,m_p98.9_ranumber,m_p99.0_ranumber,m_p99.1_ranumber,m_p99.2_ranumber,m_p99.3_ranumber,m_p99.4_ranumber,m_p99.5_ranumber,m_p99.6_ranumber,m_p99.7_ranumber,m_p99.8_ranumber,m_p99.9_ranumber,area
1,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,6.857142857142857,6.857142857142857,6.857142857142857,6.857142857142857,6.857142857142857,6.857142857142857,6.857142857142857,6.857142857142857,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,1.7142857142857142,1.7142857142857142,1.7142857142857142,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,185.70000000000002
2,37.142857142857146,37.142857142857146,37.142857142857146,37.142857142857146,37.142857142857146,37.142857142857146,35.714285714285715,35.714285714285715,35.714285714285715,35.714285714285715,35.714285714285715,35.714285714285715,35.714285714285715,35.714285714285715,35.714285714285715,35.714285714285715,35.714285714285715,35.714285714285715,35.714285714285715,35.714285714285715,35.714285714285715,34.285714285714285,34.285714285714285,34.285714285714285,34.285714285714285,34.285714285714285,27.142857142857142,27.142857142857142,27.142857142857142,27.142857142857142,27.142857142857142,25.71428571428571,25.71428571428571,25.71428571428571,25.71428571428571,25.71428571428571,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,22.857142857142854,22.857142857142854,22.857142857142854,22.857142857142854,22.857142857142854,22.857142857142854,21.42857142857143,21.42857142857143,21.42857142857143,21.42857142857143,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.571428571428573,18.571428571428573,18.571428571428573,18.571428571428573,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,15.714285714285715,15.714285714285715,15.714285714285715,15.714285714285715,14.285714285714285,14.285714285714285,14.285714285714285,11.428571428571427,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,4.285714285714286,4.285714285714286,2.8571428571428568,2.8571428571428568,2.8571428571428568,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,628.4714285714285
3,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,22.5,22.5,22.5,22.5,22.5,22.5,22.5,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,19.5,19.5,19.5,19.5,19.5,18.0,18.0,18.0,18.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,13.5,13.5,13.5,13.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,9.0,10.5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.5,7.5,7.5,7.5,6.0,6.0,6.0,4.5,4.5,4.5,4.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5,0.0,0.0,0.0,830.13
4,1.25,1.25,1.25,1.25,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.34999999999997
5,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.1031250000001
6,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,2.142857142857143,4.285714285714286,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429.9071428571426
7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.49142857142857
8,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,1.4285714285714284,2.8571428571428568,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.97142857142858
9,3.214285714285714,3.214285714285714,3.214285714285714,3.214285714285714,3.214285714285714,3.214285714285714,3.214285714285714,3.214285714285714,3.214285714285714,3.214285714285714,3.214285714285714,3.214285714285714,3.214285714285714,3.214285714285714,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.99285714285716
10,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,24.285714285714285,21.42857142857143,21.42857142857143,21.42857142857143,21.42857142857143,21.42857142857143,20.0,20.0,20.0,20.0,20.0,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,15.714285714285715,15.714285714285715,15.714285714285715,15.714285714285715,14.285714285714285,15.714285714285715,14.285714285714285,14.285714285714285,12.857142857142856,12.857142857142856,10.0,10.0,10.0,8.571428571428571,8.571428571428571,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,4.285714285714286,4.285714285714286,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,1.4285714285714284,1.4285714285714284,0.0,0.0,1213.6857142857143
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.1052631578948
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.64
13,9.166666666666668,9.166666666666668,9.166666666666668,9.166666666666668,9.166666666666668,9.166666666666668,9.166666666666668,9.166666666666668,9.166666666666668,9.166666666666668,9.166666666666668,9.166666666666668,9.166666666666668,9.166666666666668,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,7.5,7.5,7.5,7.5,6.666666666666666,6.666666666666666,6.666666666666666,6.666666666666666,5.0,5.0,4.166666666666667,4.166666666666667,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.8333333333333333,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051.4666666666667
